state,emissions
AK,592.0384675
AL,432.4116982
AR,603.9846648
AZ,482.037309
CA,252.9307378
CO,729.7533033
CT,252.3656772
DC,775.4637424
DE,627.2712097
FL,532.7431226
GA,489.7311212
HI,934.7639967
IA,546.2724609
ID,96.6953794
IL,423.5434519
IN,929.6325965
KS,473.0839852
KY,995.7396328
LA,575.4735242
MA,411.002543
MD,428.1893886
ME,185.5638395
MI,582.8840558
MN,498.1779889
MO,900.8050913
MS,496.4243787
MT,592.1173191
NC,444.3973632
ND,793.2167295
NE,665.2479609
NH,145.124362
NJ,282.1971321
NM,787.47022
NV,426.6169925
NY,245.8073293
OH,782.8399832
OK,490.9940269
OR,150.7023599
PA,430.8941238
RI,499.7485712
SC,316.2915617
SD,247.4704992
TN,457.2303227
TX,589.7781274
UT,857.2397218
VA,390.8288697
VT,19.36731421
WA,115.30846
WI,750.9246341
WV,1019.196016
WY,987.782914
